vendor,product_name,source_url,category,proposed_family,confidence,evidence,notes
namokimods,NH35/36 Barrel (Complete with Mainspring),https://namokimods.com/products/nh35-36-barrel-complete-with-mainspring,movement,nh3x-movement,high,Title explicitly states NH35/36; product_type 'Movement Spare Parts'.,"Spare part, not a full movement."
namokimods,NH36 Intermediate Wheel for Day Corrector,https://namokimods.com/products/nh36-intermediate-wheel-for-day-corrector,movement,nh3x-movement,high,Title explicit NH36.,"Day-corrector part implies NH36 (day-date) specifically, not NH35 — a within-family sub-variant to capture via attributes (hasDay), not a separate family."
namokimods,NH Decorated Movement Bridge: Vertical Cote de Geneve Steel,https://namokimods.com/products/nh-decorated-movement-bridge-vertical-cote-de-geneve-steel,movement,nh3x-movement,medium,product_type 'Rotors'; title says 'NH' generically without listing specific calibers on this vendor's own page.,"Cross-checked against Lucius's equivalent bridge/rotor listings, which explicitly tag fits-nh34/35/36/38/72 — convention, not vendor-stated on this specific listing."
namokimods,NMK960 Sumo SKX007/SRPD Case: Steel Finish,https://namokimods.com/products/nmk960-sumo-skx007-srpd-case-steel-finish,case,skx007-case,high,product_type 'SKX007 Cases'; title explicit SKX007/SRPD.,
namokimods,NMK912 Field Watch Case Bundle: Sandblasted Finish,https://namokimods.com/products/nmk912-field-watch-case-bundle-sandblasted-finish,case,skx013-case,high,product_type 'SKX013 Cases'; tag 'skx013'.,
namokimods,NMK912 Field Watch Case Bundle: Olive Green Finish,https://namokimods.com/products/nmk912-field-watch-case-bundle-olive-green-finish,case,skx013-case,high,"Same product line as the Sandblasted finish above; product_type 'SKX013 Cases', tag 'skx013'.",Confirms skx013-case is not a singleton in this audit.
namokimods,NMK959 N4 Tool Case Bundle: Sandblasted Finish,https://namokimods.com/products/nmk959-tool-case-sandblasted-finish,case,nmk-n4-case,high,"body_html states 40mm width, 49mm lug-to-lug, 8mm screw-down crown — a distinct proprietary case, not SKX007/013 dimensions.","NEW family, not in the starting 6. Sold in 3 finishes (sandblasted/black/steel) per raw feed, so not a true one-SKU singleton even though only 1 sampled here."
namokimods,Watch Dial: Spork Green,https://namokimods.com/products/watch-dial-spork-green,dial,nh3x-dial-standard,high,"body_html explicitly: 'Each dial has 4 legs for either 3 or 4 o'clock crown positions... snip off the 2 legs accordingly' and lists compatible calibers including NH35/NH36 — vendor-stated, not inferred.",This is the strongest single piece of evidence in the whole audit that the family/convention model holds: the vendor states the mounting convention in prose.
namokimods,Watch Dial: 556 White,https://namokimods.com/products/watch-dial-556-white,dial,nh3x-dial-standard,medium,Same 'Watch Dial:' product line/vendor as Spork Green (vendor-confirmed above); this specific listing's body_html was not individually re-checked.,Inferring the vendor's stated convention applies catalog-wide is reasonable but not independently verified per-SKU.
namokimods,Watch Hands: Syringe Silver,https://namokimods.com/products/watch-hands-syringe-silver,hands,nh3x-hands-standard,medium,"product_type 'Seiko Hands', tag 'Dress'; no explicit pinion-bore statement seen in the feed metadata for this listing.","Family-inferred from vendor's overall NH-focused catalog, not vendor-stated on this SKU."
namokimods,Watch Hands: VK Baton Rose Gold,https://namokimods.com/products/watch-hands-vk-baton-rose-gold,hands,vk6x-hands,high,product_type 'Seiko VK Hands' — explicitly separated from the NH3x hands range in the vendor's own taxonomy.,"NEW family. VK63/64 is a quartz chronograph movement, mechanically incompatible with NH3x hands/dials/cases. Namoki maintains separate 'VK Cases'/'VK Hands'/'VK Dials' product types confirming this is an established line, not a one-off."
namokimods,SKX007/SRPD Steel Bezel Insert: Nautical Steel,https://namokimods.com/products/skx007-srpd-steel-bezel-insert-nautical-steel,bezel_insert,skx007-insert,high,Title explicit SKX007/SRPD; convention consistent across namoki's Bezel Inserts product_type.,
namokimods,SSK Chapter Ring: GMT Black with Red Markers,https://namokimods.com/products/ssk-chapter-ring-gmt-black-with-red-markers,chapter_ring,ssk-chapter-ring,low,body_html only says 'Take your SSK watch builds one step further' — vendor never defines what SSK is or states dimensions on this listing.,"Genuine ambiguity. A watchandstyle.net listing's tag ('Seiko 5 GMT Chapter Ring') suggests SSK = Seiko 5 GMT, but that's a different vendor's labelling, not confirmed against namoki's own usage. Needs a forum/vendor-contact check before Phase 1 — flagged for manual review regardless of confidence bucket per Phase 1 review rules (case/movement categories always reviewed; this would be reviewed as low-confidence)."
luciusatelier,NH Movement Rotor - Côtes de Genève III - Yellow Gold,https://luciusatelier.com/products/nh-movement-rotor-cotes-de-geneve-iii-yellow-gold,movement,nh3x-movement,high,"Tags explicit: fits-nh34, fits-nh35, fits-nh36, fits-nh38, fits-nh72.",
luciusatelier,NH Movement Bridge - Côtes de Genève - Spiral Sunburst - Silver,https://luciusatelier.com/products/nh-movement-bridge-cotes-de-geneve-spiral-sunburst,movement,nh3x-movement,high,"Tags explicit: fits-nh34, fits-nh35, fits-nh36, fits-nh38, fits-nh72.",
luciusatelier,SKX013 Diver 38 Black — Ultra Thin Watch Case,https://luciusatelier.com/products/skx013-diver-38-black-ultra-thin-edition,case,lucius-ultra-thin-case,high,"body_html explicitly states: 'standard SKX bezels, inserts, and crystals will not fit, and ours will not fit a stock SKX.'","NEW family, and a textbook false-positive trap avoided: despite 'SKX013' in the name, this must NOT be assigned to skx013-case. Direct vendor confirmation of incompatibility with the stock family."
